1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Male,26-35,First (Bachelor),Psychology,Yes,3-5,Israel,1,0,0,1,0,,0,0-5,Dr.,Male,No,,Male,Yes,Dr.,No,Yes,When in the general scope of the work,Only when absolutely relevant and warranted,Never,Never,Management,Never
Female,36-45,Third (Ph.D. \ MD),Applied physics,Yes,6-9,Ukraine,1,5-10,2-5,1,0,1,1,10-20,Prof.,Male,No,20-40,Female,Yes,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Often,Informatics,Never
Male,46-55,Professor,Mechanical engineering,Yes,10-20,Israel,5+,10+,2-5,2,1,1,5+,10-20,Dr.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Often,,Never
Male,36-45,Professor,Informatics,No,10-20,Estonia,5+,10+,2-5,2,2,2,3,20-40,Dr.,Male,No,10-20,Female,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Environmental science,Rarely
Male,36-45,Third (Ph.D. \ MD),Genome science,No,6-9,Denmark,3,10+,5-10,I did a direct Ph.D.,0,,4,,,Male,No,10-20,Female,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,Pharmacy,Never
Prefer not to say,36-45,Third (Ph.D. \ MD),Social sciences,No,6-9,Israel,3,5-10,5-10,1,1,2,2,20-40,Prof.,Female,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Mathematics,No,10-20,Israel,2,2-5,2-5,1,1,2,4,20-40,Prof.,Male,No,20-40,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Physics,Never
Female,36-45,Third (Ph.D. \ MD),Psychology,Yes,3-5,Israel,3,1,0,2,0,2,1,5-10,Prof.,Female,No,5-10,,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,66+,Professor,Biological Science,No,20+,Israel,2,2-5,1,1,1,1,1,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,6-9,Sweden,3,10+,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,Material engineering,Rarely
Male,46-55,Third (Ph.D. \ MD),Biological Science,Yes,3-5,Israel,3,5-10,1,3+,1,2,4,10-20,Prof.,Male,No,5-10,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Environmental science,Rarely
Male,66+,Professor,Informatics,Yes,20+,Israel,2,10+,5-10,2,1,2,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,Mathematics,Rarely
Male,26-35,First (Bachelor),Economics,No,10-20,Israel,1,0,0,1,0,1,1,10-20,Dr.,Male,No,Younger than me,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Never,,Rarely
Male,46-55,Professor,Biological Science,Yes,10-20,Israel,5+,10+,2-5,1,2,2,5+,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Often,Rarely,Neuroscience,Rarely
Female,56-65,Professor,Mathematics,Yes,10-20,Israel,5+,10+,1,3+,0,3,3,20-40,Dr.,Male,No,10-20,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,Biological Science,Rarely
Male,26-35,Second (Master),Psychology,Yes,3-5,United States,5+,2-5,0,1,0,,,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Whenever I can,Rarely,Rarely,,Rarely
Female,26-35,First (Bachelor),Psychology,Yes,0,Israel,5+,0,0,2,0,,,10-20,Prof.,Female,No,,,,,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,Social sciences,Rarely
Female,46-55,Second (Master),Nursing,Yes,1-2,Israel,1,0,0,2,0,,,Younger than me,Dr.,Female,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Sociology,Never
Male,46-55,Professor,Economics,Yes,20+,Russian Federation,4,10+,5-10,1,0,2,2,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Clinical internal medicine,No,20+,United States,2,10+,2-5,I did a direct Ph.D.,0,,1,,,Male,No,20-40,Female,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",When in the general scope of the work,Rarely,Often,Nursing,Never
Female,18-25,Second (Master),Psychology,Yes,1-2,United Kingdom,1,0,0,1,1,1,0,10-20,Dr.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Mathematics,Yes,20+,United Kingdom,5+,10+,10+,1,1,1,3,10-20,Dr.,Male,No,5-10,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,Biological Science,Rarely
Female,26-35,Third (Ph.D. \ MD),Neuroscience,Yes,3-5,Israel,3,2-5,0,2,0,2,2,20-40,Dr.,Male,Yes,5-10,Female,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,Psychology,Never
Male,46-55,Professor,Informatics,Yes,10-20,Israel,4,10+,2-5,I did a direct Ph.D.,0,2,3,,,Male,No,5-10,Female,No,Prof.,No,No,When in the general scope of the work,When in the general scope of the work,Rarely,Rarely,,Rarely
Female,66+,Professor,Mathematics,Yes,20+,United Kingdom,3,10+,10+,1,0,1,1,10-20,Prof.,Female,No,20-40,Male,,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Politics,No,3-5,Argentina,2,2-5,1,2,1,2,4,5-10,Dr.,Male,No,10-20,Male,Yes,Prof.,No,No,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,18-25,Third (Ph.D. \ MD),Basic medicine,No,1-2,United States,1,1,0,2,0,1,3,20-40,Prof.,Female,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Second (Master),Economics,Yes,1-2,Austria,1,0,0,1,1,,,,,Male,No,20-40,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Social sciences,Yes,3-5,Israel,2,1,0,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Architecture and building engineering,No,6-9,United States,2,2-5,2-5,3+,1,1,4,10-20,Prof.,Male,Yes,10-20,Male,No,Prof.,"Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Material engineering,Rarely
Male,18-25,Second (Master),Economics,Yes,1-2,United Kingdom,1,0,0,1,1,,,,,Male,No,40+,,,,No,No,Whenever I can,When in the general scope of the work,Never,Never,,Never
Male,66+,Professor,Economics,Yes,20+,United States,5+,10+,5-10,1,0,1,2,10-20,Dr.,Female,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,Mathematics,Rarely
Female,36-45,Third (Ph.D. \ MD),Nano/Micro science,No,6-9,Austria,2,2-5,1,1,2,3,5+,10-20,Prof.,Male,No,10-20,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Chemistry,Never
Female,46-55,Professor,Neuroscience,No,20+,Estonia,3,10+,2-5,I did a direct Ph.D.,0,,4,,,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Often,Clinical surgery,Never
Male,66+,Professor,Genome science,Yes,20+,United Kingdom,5+,10+,0,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *gender* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Informatics,Never
Female,26-35,Third (Ph.D. \ MD),Sociology,No,3-5,Sweden,2,2-5,1,2,2,2,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Agricultural science in society and economy,Yes,6-9,Ukraine,3,10+,2-5,1,0,1,2,5-10,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),History,Yes,10-20,Canada,3,10+,5-10,1,0,1,2,40+,Prof.,Male,No,20-40,Male,,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Politics,Never
Male,26-35,Third (Ph.D. \ MD),Mathematics,No,3-5,Greece,2,2-5,1,1,1,1,1,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Basic biology,Yes,10-20,Belgium,4,10+,10+,1,3+,2,5+,20-40,Prof.,Male,No,20-40,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Chemistry,Yes,6-9,Finland,3,5-10,0,2,2,1,2,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,66+,Professor,Environmental science,Yes,20+,Belgium,4,10+,5-10,1,0,1,3,5-10,Dr.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Social sciences,Never
Female,18-25,Second (Master),Linguistics,No,0,Russian Federation,1,0,0,1,1,,,,,Female,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Literature,Yes,10-20,Denmark,2,2-5,10+,1,1,1,1,20-40,Prof.,Female,No,20-40,Female,No,Prof.,No,No,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Mathematics,No,3-5,United Kingdom,3,2-5,0,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *country* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,Informatics,Never
Male,56-65,Professor,Genome science,Yes,20+,United Kingdom,5+,10+,5-10,1,0,2,2,20-40,Prof.,Male,No,20-40,Male,,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,First (Bachelor),Informatics,No,20+,Israel,1,0,0,1,0,0,0,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Chemistry,Yes,20+,Russian Federation,3,10+,10+,1,1,1,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Physics,Never
Female,26-35,Third (Ph.D. \ MD),Philosophy,No,6-9,United States,3,5-10,5-10,1,1,1,1,20-40,Prof.,Male,No,20-40,Female,No,Prof.,Yes - They were from the same *country* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,Politics,Never
Female,46-55,Third (Ph.D. \ MD),Genome science,Yes,10-20,United Kingdom,5+,10+,2-5,1,0,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Civil engineering,Yes,10-20,Ukraine,2,10+,5-10,1,2,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Male,26-35,Third (Ph.D. \ MD),Sociology,No,3-5,France,2,1,1,1,1,1,1,10-20,Dr.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,History,Never
Female,26-35,Third (Ph.D. \ MD),Neuroscience,Yes,6-9,Norway,3,5-10,0,2,2,2,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Physics,Yes,6-9,United States,2,2-5,1,1,0,1,1,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Nano/Micro science,Yes,6-9,Germany,2,5-10,0,1,1,2,4,10-20,Prof.,Female,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,Basic biology,Never
Male,46-55,Professor,Applied physics,Yes,10-20,Mexico,4,10+,2-5,1,0,2,5+,40+,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,26-35,Second (Master),Informatics,Yes,3-5,Germany,3,5-10,0,1,2,3,0,5-10,Dr.,Female,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Rarely,Rarely,Biological Science,Rarely
Female,26-35,Second (Master),Informatics,No,0,India,2,2-5,0,1,0,,,20-40,Dr.,Female,No,,,,,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,,Often
Male,26-35,Third (Ph.D. \ MD),Informatics,Yes,3-5,Denmark,2,1,0,1,0,1,3,10-20,Dr.,Male,No,0-5,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Mathematics,Never
Male,36-45,Third (Ph.D. \ MD),Informatics,No,10-20,Germany,2,2-5,0,1,0,2,1,20-40,Dr.,Male,No,5-10,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Biological Science,Rarely
Male,26-35,Third (Ph.D. \ MD),Nano/Micro science,Yes,3-5,United States,3,5-10,5-10,1,0,1,5+,20-40,Dr.,Male,No,20-40,Male,Yes,Dr.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Often,Often,Applied physics,All the time
Male,26-35,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,1-2,Korea South,3,2-5,0,1,1,5,3,5-10,Prof.,Male,No,5-10,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,Electrical and electronic engineering,Rarely
Male,36-45,Third (Ph.D. \ MD),Informatics,No,10-20,Romania,1,10+,0,2,1,2,4,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Rarely,Mathematics,Rarely
Male,46-55,Third (Ph.D. \ MD),Informatics,No,20+,United States,5+,10+,10+,2,0,1,5+,20-40,Prof.,Female,No,5-10,Female,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Male,36-45,Professor,Informatics,Yes,10-20,Denmark,5+,10+,0,1,1,1,5+,10-20,Prof.,Male,No,10-20,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Male,26-35,Second (Master),Informatics,Yes,6-9,Germany,2,2-5,0,2,0,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Never,Never,Physics,Never
Male,36-45,Professor,Informatics,Yes,6-9,United Kingdom,5+,5-10,0,1,3+,2,5+,20-40,Prof.,Male,No,10-20,Female,No,Prof.,"No, Yes - They were from the same *field of study* as I am",No,Whenever I can,Only when absolutely relevant and warranted,Rarely,Never,Linguistics,Rarely
Male,26-35,Third (Ph.D. \ MD),Mathematics,Yes,6-9,Germany,4,10+,1,I did a direct Ph.D.,0,1,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,Informatics,Rarely
Male,46-55,Professor,Informatics,Yes,20+,Germany,2,10+,2-5,1,2,1,3,20-40,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,18-25,Second (Master),Informatics,Yes,1-2,France,2,1,0,2,0,,,20-40,Prof.,Female,No,,,,,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Physics,No,10-20,Romania,1,10+,2-5,I did a direct Ph.D.,0,3,0,40+,Prof.,Male,No,40+,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Informatics,Never
Male,26-35,Professor,Informatics,Yes,10-20,Japan,5+,10+,2-5,1,2,3,4,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Applied physics,Rarely
Male,36-45,Third (Ph.D. \ MD),Informatics,Yes,10-20,Spain,5+,10+,0,1,2,1,5+,10-20,Dr.,Male,Yes,10-20,Male,Yes,Dr.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Rarely,,Rarely
Male,26-35,Second (Master),Informatics,No,6-9,India,2,2-5,0,1,2,,,10-20,Prof.,Male,No,,,,,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,Linguistics,Often
Male,56-65,Second (Master),Informatics,No,20+,Italy,5+,2-5,0,1,1,,,10-20,Prof.,Male,No,,,,,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,Neuroscience,Rarely
Female,26-35,Second (Master),Linguistics,Yes,1-2,Finland,2,2-5,0,2,0,3,5+,20-40,Dr.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,Informatics,Never
Male,26-35,Second (Master),Electrical and electronic engineering,Yes,3-5,Iraq,5+,5-10,0,2,3+,Masters only,0,5-10,Prof.,Female,No,,,,,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Often,,Rarely
Male,18-25,Second (Master),Informatics,I Collaborate with Academecians,3-5,India,3,2-5,0,3+,0,NA,0,5-10,Dr.,Male,Yes,5-10,Male,No,Dr.,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Often,Never,,Rarely
Male,26-35,Second (Master),Informatics,Yes,3-5,Germany,3,10+,0,2,3+,1,5+,10-20,Prof.,Male,No,5-10,Female,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Environmental science,Never
Male,36-45,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,10-20,India,2,10+,0,1,2,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Dr.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Mathematics,Yes,10-20,United States,4,2-5,0,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,Informatics,Rarely
Male,46-55,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,10-20,Sweden,2,5-10,0,1,2,1,4,10-20,Prof.,Male,No,0-5,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
